INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1009;Zinsbelastungsanteil;Interest burden portion;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Hinweis: Die Kennzahlenwerte für das Jahr 2015 wurden am 21.2.2017 korrigiert.  Der Zinsbelastungsanteil zeigt den Anteil des Finanzertrags, der für die Passivzinsen und die Aufwände für die Liegenschaften des Finanzvermögens verwendet wird. Er ist somit, wie der Kapitaldienstanteil, ein Indikator für das Ausmass der Verschuldung.  Zinsbelastungsanteil in (%) = Nettozinsen/Finanzertrag x 100 Nettozinsen + Passivzinsen – Vermögenserträge + Aufwand für Liegenschaften des Finanzvermögens Finanzertrag + Ertrag der laufenden Rechnung – Interne Verrechnungen – Entnahmen aus Spezialfinanzierungen – Entnahmen aus Vorfinanzierungen – Finanzbedarf der Schulgemeinden Kennzahlwerte unter zwei Prozent stellen eine tiefe und Werte zwischen zwei und fünf Prozent eine mittlere Belastung dar. Ein Zinsbelastungsanteil von fünf bis acht Prozent ist hoch, während Werte über acht Prozent als sehr hoch zu interpretieren sind.  Eine steigende Kennzahlenreihe weist auf eine Einengung der finanziellen Flexibilität, eine sinkende auf eine Ausweitung hin. Negative Werte resultieren bei einem Überschuss der Vermögenserträge.  Der Zinsbelastungsanteil ist im Zusammenhang mit den Kennzahlen zur Verschuldung (Bruttoverschuldung, Nettoschuld) sowie im Kontext des Zinsniveaus zu analysieren. Gemeinden mit hoher Verschuldung weisen meistens auch einen hohen Zinsbelastungsanteil auf. Auch auf tiefem Niveau ist die Übereinstimmung der Kennzahlenwerte oft feststellbar. Der Zinsbelastungsanteil ist umso positiver zu bewerten, je höher die Verschuldung ist. Im Umkehrschluss dazu führt eine tiefe Verschuldungskennzahl zu einer weniger positiven Bewertung des Zinsbelastungsanteils.  ;Note: The key figures for 2015 were corrected on February 21, 2017. The interest burden portion shows the portion of the financial income that is used for the passive interest and the expenses for the real estate of the financial assets. Like the debt service share, it is therefore an indicator of the extent of the debt. Interest burden in (%) = net interest / financial income x 100 net interest + interest on liabilities - income from assets + expenses for real estate financial assets financial income + income from current accounts - internal settlements - withdrawals from special financing - withdrawals from pre-financing - financial needs of school communities Key figures below two percent represent a low and values ??between two and five percent represent a medium burden. An interest burden portion of five to eight percent is high, while values ??above eight percent are to be interpreted as very high. An increasing series of indicators indicates a reduction in financial flexibility, a decreasing series indicates an expansion. Negative values ??result from an excess of investment income. The interest burden must be analyzed in connection with the indebtedness indicators (gross debt, net debt) and in the context of the interest rate level. Municipalities with high levels of debt usually also have a high share of interest charges. Even at a low level, the correspondence of the key figure values ??can often be determined. The higher the debt, the more positive the interest burden is to be assessed. Conversely, a low debt ratio leads to a less positive assessment of the interest burden.
1010;Bruttoverschuldungsanteil;Gross debt;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Der Bruttoverschuldungsanteil entspricht den Bruttoschulden dividiert durch den Finanzertrag in Prozenten. Der Bruttoverschuldungsanteil zeigt an, wie viele Prozente des Finanzertrags benötigt würden, um die Bruttoschulden abzutragen. Diese im Jahr 2006 erstmals berechnete Finanzkennzahl gibt somit Auskunft über die Verschuldungssituation der Gemeinde.  Bruttoverschuldungsanteil (%) = Bruttoschulden/Finanzertrag x 100 Bruttoschulden + Fremdkapital + Zweckbestimmte Zuwendungen – Schulden der Schulgemeinden bei politischen Gemeinden Finanzertrag + Ertrag der laufenden Rechnung – Interne Verrechnungen – Entnahmen aus Spezialfinanzierungen – Entnahmen aus Vorfinanzierungen – Finanzbedarf der Schulgemeinden Ein Bruttoverschuldungsanteil von weniger als 100 Prozent kann als tief angesehen werden. Werte von 100 bis 150 Prozent widerspiegeln eine mittlere und Werte von 150 bis 200 Prozent eine ungünstige Verschuldungssituation. Sind die Bruttoschulden mehr als doppelt so gross (> 200%) wie der Finanzertrag, so liegt eine kritische Verschuldungssituation vor.  Der Bruttoverschuldungsanteil ist im Zusammenhang mit den Kennzahlen Selbstfinanzierungsgrad, Selbstfinanzierungsanteil, Kapitaldienstanteil und Zinsbelastungsanteil zu analysieren.  Der Bruttoverschuldungsanteil ist finanztechnisch umso positiver zu bewerten, je höher der Selbstfinanzierungsgrad und der Selbstfinanzierungsanteil sind. Im Umkehrschluss dazu führen ein tiefer Selbstfinanzierungsgrad und Selbstfinanzierungsanteil zu einer weniger positiven Bewertung des Bruttoverschuldungsanteils.  Gemeinden mit hoher Verschuldung weisen meistens auch einen hohen Kapitaldienst- und Zinsbelastungsanteil auf. Auch auf tiefem Niveau ist die Übereinstimmung der Kennzahlenwerte oft feststellbar. Der Bruttoverschuldungsanteil ist umso positiver zu bewerten, je tiefer der Kapitaldienst- und Zinsbelastungsanteil ist. Im Umkehrschluss dazu führt eine hohe Kennzahl für den Kapitaldienst- und Zinsbelastungsanteil zu einer weniger positiven Bewertung des Bruttoverschuldungsanteils.  ;The gross debt is equal to the gross debt divided by the financial income as a percentage. The gross indebtedness shows how many percent of the financial income would be needed to pay off the gross debt. This key financial figure, which was calculated for the first time in 2006, provides information about the borrowing of the municipality. Gross debt ratio (%) = gross debt / financial income x 100 gross debt + debt capital + earmarked grants - debt of the school communities to political communities Financial income + income from current accounts - internal settlements - withdrawals from special financing - withdrawals from pre-financing - financial needs of school communities A gross debt ratio of less than 100 Percent can be viewed as low. Values ??from 100 to 150 percent reflect an average debt situation and values ??from 150 to 200 percent reflect an unfavorable debt situation. If the gross debt is more than twice as large (> 200%) as the financial income, then there is a critical debt situation. The gross debt share is to be analyzed in connection with the key figures self-financing ratio, self-financing ratio, debt service ratio and interest burden ratio. From a financial point of view, the gross debt component is to be assessed more positively, the higher the self-financing rate and the self-financing rate. Conversely, a lower level of self-financing and self-financing lead to a less positive assessment of the gross debt ratio. Municipalities with high levels of debt usually also have a high share of debt servicing and interest charges. Even at a low level, the correspondence of the key figure values ??can often be determined. The gross debt component is to be assessed more positively, the lower the debt service and interest burden component. Conversely, a high key figure for the debt service and interest burden portion leads to a less positive assessment of the gross debt portion.
1011;Investitionsanteil;Investment share;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Hinweis: Die Kennzahlenwerte für das Jahr 2015 wurden am 21.2.2017 korrigiert.  Der Investitionsanteil entspricht den Investitionen dividiert durch die konsolidierten (gesamten) Ausgaben in Prozenten und zeigt somit die Aktivität im Bereich der Investitionen und den Einfluss auf die Neuverschuldung. Sie ist für das Jahr 2006 erstmals berechnet worden.  Investitionsanteil (%) = Bruttoinvestitionen/Konsolidierte Ausgaben x 100 Bruttoinvestitionen + Aktivierte Ausgaben der Investitionsrechnung Konsolidierte Ausgaben + Aufwand der laufenden Rechnung + Aktivierte Investitionsausgaben – Abschreibungen auf Verwaltungsvermögen – Abschreibungen auf dem Bilanzfehlbetrag – Einlagen in Spezialfinanzierungen – Einlagen in Vorfinanzierungen – Finanzbedarf der Schulgemeinden – Interne Verrechnungen Ein Kennzahlwert unter 10 Prozent weist auf eine schwache, ein Wert von 10 bis 20 Prozent auf eine mittlere, ein Wert von 20 bis 30 Prozent auf eine starke und ein Wert von über 30 Prozent auf eine sehr starke Investitionstätigkeit hin. Der Investitionsanteil ist im Zusammenhang mit der Kennzahl Selbstfinanzierungsgrad zu analysieren.  Der Investitionsanteil ist finanztechnisch umso positiver zu bewerten, je höher der Selbstfinanzierungsgrad ist. Im Umkehrschluss dazu führt ein tiefer Selbstfinanzierungsgrad zu einer weniger positiven Bewertung des Investitionsanteils.    ;Note: The key figures for 2015 were corrected on February 21, 2017. The investment share corresponds to the investments divided by the consolidated (total) expenditure as a percentage and thus shows the activity in the area of ??investments and the influence on new borrowing. It was calculated for the first time in 2006. Investment share (%) = gross investments / consolidated expenses x 100 gross investments + capitalized expenditure in the investment account Consolidated expenditure + expenses in the current account + capitalized capital expenditure - Depreciation on administrative assets - Depreciation on the balance sheet deficit - Deposits in special financing - Deposits in pre-financing - Financial requirements of the school communities - Internal Offsetting A key figure value below 10 percent indicates a weak investment activity, a value of 10 to 20 percent indicates a medium one, a value of 20 to 30 percent indicates a strong investment activity and a value above 30 percent indicates a very strong investment activity. The investment share is to be analyzed in connection with the indicator of the degree of self-financing. The higher the degree of self-financing, the more positive the investment component is from a financial point of view. Conversely, a lower level of self-financing leads to a less positive assessment of the investment share.
1012;Nettoschuld je Einwohner;Net debt per inhabitant;Franken;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Die Nettoschuld je Einwohner/-in ist eine Beurteilungsgrösse für die kommunale Verschuldung. Die Nettoschuld besteht aus dem Fremdkapital plus den zweckbestimmten Zuwendungen minus das Finanzvermögen. Die Nettoschuld der Spezialfinanzierungen ist berücksichtigt. Nicht enthalten ist die Nettoschuld der Gemeindeunternehmen. Ausserdem ist zu beachten, dass zahlreiche Gemeinden stille Reserven aufweisen (vor allem Liegenschaften des Finanzvermögens), diese aber im Kennzahlenwert nicht berücksichtigt werden. Es wird die ständige Wohnbevölkerung verwendet. Eine Nettoschuld von weniger als 1 000 Franken pro Einwohner und Einwohnerin wird als tiefe Nettoverschuldung angesehen. Werte von 1 000 bis 5 000 Franken gelten als mittlere Werte. Liegt die Nettoverschuldung über 5 000 Franken, so gilt die Gemeinde als hoch verschuldet.  Die Nettoschuld je Einwohner ist im Zusammenhang mit den Kennzahlen Selbstfinanzierungsgrad, Selbstfinanzierungsanteil, Kapitaldienstanteil und Zinsbelastungsanteil zu analysieren.  Die Nettoschuld je Einwohner ist umso positiver zu bewerten, je höher der Selbstfinanzierungsgrad und der Selbstfinanzierungsanteil sind. Im Umkehrschluss dazu führen ein tiefer Selbstfinanzierungsgrad und Selbstfinanzierungsanteil zu einer weniger positiven Bewertung der Nettoschuld je Einwohner.  Gemeinden mit hoher Verschuldung weisen meistens auch einen hohen Kapitaldienst- und Zinsbelastungsanteil auf. Auch auf tiefem Niveau ist die Übereinstimmung der Kennzahlenwerte oft feststellbar. Die Nettoschuld je Einwohner ist umso positiver zu bewerten, je tiefer der Kapitaldienst- und Zinsbelastungsanteil ist. Im Umkehrschluss dazu führt ein hoher Kapitaldienst- und Zinsbelastungsanteil zu einer weniger positiven Bewertung der Nettoschuld je Einwohner/-in.  ;The net debt per inhabitant is an assessment variable for the municipal debt. The net debt consists of the borrowed capital plus the earmarked allowances minus the financial assets. The net debt of the special financing is taken into account. It does not include the net debt of municipal companies. It should also be noted that numerous municipalities have hidden reserves (especially financial assets), but these are not taken into account in the key figure value. The permanent resident population is used. A net debt of less than CHF 1,000 per inhabitant is considered to be low net debt. Values ??of 1,000 to 5,000 francs are considered to be average values. If the net debt is over 5,000 francs, the municipality is considered to be heavily indebted. The net debt per inhabitant must be analyzed in connection with the key figures self-financing ratio, self-financing ratio, debt service ratio and interest burden ratio. The net debt per inhabitant is to be assessed more positively, the higher the degree of self-financing and the proportion of self-financing. Conversely, a lower level of self-financing and self-financing lead to a less positive assessment of the net debt per inhabitant. Municipalities with high levels of debt usually also have a high share of debt servicing and interest charges. Even at a low level, the correspondence of the key figure values ??can often be determined. The net debt per inhabitant is to be assessed more positively, the lower the debt service and interest burden portion. Conversely, a high debt service and interest burden share leads to a less positive assessment of the net debt per inhabitant.
1013;Nettoschuld in Steuerprozenten;Net debt in tax percentages;Prozent;"Amt für Gemeinden Gemeindefinanzstatistik; Berechnung Fachstelle für Statistik SG";Die Nettoschuld in Steuerprozenten ist eine Beurteilungsgrösse für die kommunale Verschuldung, gemessen an der steuerlichen Leistungsfähigkeit der Gemeinde. Die Nettoschuld besteht aus dem Fremdkapital plus den zweckbestimmten Zuwendungen minus das Finanzvermögen. Die Nettoschuld der Spezialfinanzierungen ist berücksichtigt. Nicht enthalten ist die Nettoschuld der Gemeindeunternehmen. Ausserdem ist zu beachten, dass zahlreiche Gemeinden stille Reserven aufweisen (vor allem Liegenschaften des Finanzvermögens), diese aber im Kennzahlenwert nicht berücksichtigt werden. Es wird die ständige Wohnbevölkerung verwendet. Berechnung: Nettoschuld /Einfache Steuer (geschuldete Steuer vor Anpassung mit dem Steuerfuss) x 100. Entspricht die Nettoschuld weniger als 50 Prozent der gesamten einfachen Steuer, so liegt eine tiefe Nettoverschuldung vor. Werte von 50 bis 400 Steuerprozenten gelten als mittlere Werte. Ist die Nettoschuld mehr als das Vierfache grösser als die einfache Steuer, so gilt die Gemeinde als hoch verschuldet. Die Nettoschuld in Steuerprozenten ist im Zusammenhang mit den Kennzahlen Selbstfinanzierungsgrad, Selbstfinanzierungsanteil, Kapitaldienstanteil und Zinsbelastungsanteil zu analysieren. Die Nettoschuld in Steuerprozenten ist umso positiver zu bewerten, je höher der Selbstfinanzierungsgrad und der Selbstfinanzierungsanteil sind. Im Umkehrschluss dazu führen ein tiefer Selbstfinanzierungsgrad und Selbstfinanzierungsanteil zu einer weniger positiven Bewertung der Nettoschuld in Steuerprozenten. Gemeinden mit hoher Verschuldung weisen meistens auch einen hohen Kapitaldienst- und Zinsbelastungsanteil auf. Auch auf tiefem Niveau ist die Übereinstimmung der Kennzahlenwerte oft feststellbar. Die Nettoschuld in Steuerprozenten ist umso positiver zu bewerten, je tiefer der Kapitaldienst- und Zinsbelastungsanteil ist. Im Umkehrschluss dazu führt ein hoher Kapitaldienst- und Zinsbelastungsanteil zu einer weniger positiven Bewertung der Nettoschuld in Steuerprozenten.  ;The net debt in tax percentages is an assessment variable for the municipal debt, measured by the tax performance of the municipality. The net debt consists of the borrowed capital plus the earmarked allowances minus the financial assets. The net debt of the special financing is taken into account. It does not include the net debt of municipal companies. It should also be noted that numerous municipalities have hidden reserves (especially financial assets), but these are not taken into account in the key figure value. The permanent resident population is used. Calculation: net debt / simple tax (tax owed before adjustment with the tax rate) x 100. If the net debt is less than 50 percent of the total simple tax, the net debt is low. Values ??of 50 to 400 tax percent are considered to be average values. If the net debt is more than four times greater than the simple tax, the municipality is considered to be highly indebted. The net debt in tax percentages is to be analyzed in connection with the key figures self-financing ratio, self-financing ratio, debt service ratio and interest burden ratio. The net debt in tax percentages is to be assessed more positively, the higher the degree of self-financing and the proportion of self-financing. Conversely, a lower level of self-financing and self-financing lead to a less positive assessment of the net debt in tax percentages. Municipalities with high levels of debt usually also have a high share of debt servicing and interest charges. Even at a low level, the correspondence of the key figure values ??can often be determined. The lower the debt service and interest burden, the more positive the net debt in tax percentages is. Conversely, a high debt service and interest burden share leads to a less positive assessment of the net debt in tax percentages.
1014;Bruttoaufwand laufende Rechnung;Gross expense current account;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Gesamter Bruttoaufwand für Personal, Sachgüter, Passivzinsen, Abschreibungen, Anteile und Beiträge ohne Zweckbindung, Entschädigungen an Gemeinwesen, eigene Beiträge, Einlagen in Sondervermögen und intern verrechneten Aufwand. ;Total gross expenditure for personnel, material goods, interest on the liabilities side, depreciation, shares and contributions without earmarking, compensation to the community, own contributions, deposits in special assets and internally offset expenses.
1015;Bruttoertrag laufende Rechnung;Gross income current account;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Gesamter Bruttoertrag aus Steuern, Konzessionen, Vermögenserträgen, Entgelten, Anteilen und Beiträgen ohne Zweckbindung, Rückerstattungen von Gemeinwesen, Beiträgen für eigene Rechnung, Entnahmen aus Sondervermögen und intern verrechneten Erträgen. ;Total gross income from taxes, concessions, income from assets, fees, shares and contributions without earmarking, reimbursements from the community, contributions for own account, withdrawals from special assets and internally offset income.
1016;Aufwand- bzw. Ertragsüberschuss laufende Rechnung;Expense or income surplus, current account;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Bruttoertrag abzüglich Bruttoaufwand der laufenden Rechnung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. (Zahlen 2006-2014 revidiert Januar 2017) ;Gross income less gross expenses of the current invoice. The permanent resident population is used to calculate the per capita values. (Figures 2006-2014 revised January 2017)
1017;30 Personalaufwand;30 personnel expenses;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Aufwand für die Entlöhnung, Versicherung, Anwerbung, Aus- und Weiterbildung der Behördenmitglieder und des Personals, die Gewährung von Naturalleistungen, Zulagen oder Vergünstigungen jeglicher Art an die Behördenmitglieder und das aktive Personal sowie Teuerungszulagen an pensionierte Behördenmitglieder und Mitarbeiter, für deren Lohnauszahlung die Gemeinde zuständig ist. ;Expenses for the remuneration, insurance, recruitment, training and further education of the members of the authorities and the staff, the granting of benefits in kind, allowances or perks of any kind to the members of the authorities and the active staff as well as cost-of-living allowances to retired members of the authorities and employees, for whose wages the municipality is responsible is.
1018;31 Sachaufwand;31 Material expenses;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Aufwand für die Beschaffung aller Konsumgüter sowie von kleineren Investitionsausgaben einer Rechnungsperiode. Als Sachaufwand gelten auch sämtliche Aufwendungen für Dienstleistungen, wie z. B. Telefon-, Bank- und Postgebühren, Unterhaltsarbeiten und Reparaturen, die nicht durch das eigene Personal erbracht werden. ;Expenditures for the procurement of all consumer goods as well as of smaller capital expenditures in an accounting period. All expenses for services, such as B. Telephone, bank and postage charges, maintenance work and repairs that are not performed by your own staff.
1019;32 Passivzinsen;32 Interest payable;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Passivzinsen für beanspruchte fremde Mittel, wie laufende Verpflichtungen, kurz-, mittel- und langfristige Schulden und Sonderrechnungen. ;Passive interest for third-party funds used, such as current obligations, short-, medium- and long-term debts and special bills.
1020;33 Abschreibungen;33 Depreciation;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Abschreibungen auf den Buchwerten des Verwaltungsvermögens. Die Abschreibungen richten sich nach der Höhe der Ausgaben, der Wertbeständigkeit der Investitionen, der Finanzkraft der Gemeinde sowie den bestehenden und geplanten finanziellen Verpflichtungen der Gemeinde. ;Depreciation on the book values ??of administrative assets. The depreciation is based on the amount of the expenditure, the stable value of the investments, the financial strength of the municipality as well as the existing and planned financial obligations of the municipality.
1021;34 Anteile und Beiträge ohne Zweckbindung;34 Unrestricted shares and contributions;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Gesetzliche Anteile anderer Gemeinwesen am Ertrag bestimmter Abgaben sowie sonstige Beiträge, bei denen das begünstigte Gemeinwesen den Verwendungszweck frei bestimmt. ;Statutory shares of other communities in the income of certain taxes as well as other contributions for which the beneficiary community freely determines the purpose.
1022;35 Entschädigungen an Gemeinwesen;35 Community Compensation;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Entschädigungen an ein Gemeinwesen, das für ein anderes ganz oder teilweise eine öffentliche Aufgabe erfüllt. Die Entschädigung wird aufgrund des Aufwands bemessen. ;Compensation to a community that performs a public task in whole or in part for another. The compensation is based on the effort.
1023;36 Eigene Beiträge;36 Own contributions;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Nicht rückzahlbare Leistungen aus eigenen Mitteln für Konsumzwecke, bei denen der Empfänger keine direkte Gegenleistung erbringt. Dazu gehören namentlich Betriebs- und Defizitbeiträge sowie Sozialleistungen an private Haushalte. ;Non-repayable services from own resources for consumption purposes for which the recipient does not provide any direct consideration. These include, in particular, operating and deficit contributions as well as social benefits to private households.
1024;38 Einlagen in Sondervermögen;38 Deposits in special funds;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Einlagen in Sondervermögen, die über die laufende Rechnung erfolgen. ;Deposits in special funds that are made via the current account.
1025;39 Intern verrechneter Aufwand;39 Expenses charged internally;Franken;Amt für Gemeinden Gemeindefinanzstatistik;Im Rahmen der funktionalen Gliederung der laufenden Rechnung ergeben sich interne Verrechnungen zwischen den einzelnen Dienststellen. Diese Kontengruppe umfasst die Belastungen der internen Verrechnungen. ;In the context of the functional structure of the current invoice, there are internal allocations between the individual departments. This account group includes the debits of the internal clearing.
